id,name_multi,pais,lat,lon,notas
1,أحمد بن سعيد,India,45.65544,58.0082,ملاحظات قصيرة
2,黄丽,الإمارات,-10.69716,91.17102,稍后审核
3,Sofía Peña,France,-8.04591,-171.18448,revisar más tarde
4,محمد العلي,India,-9.36382,11.9532,ملاحظات قصيرة
5,刘洋,الإمارات,34.76968,31.15446,已确认
6,María González,المملكة العربية السعودية,18.57233,139.90015,información adicional
7,فاطمة الزهراء,Argentina,43.61825,-140.18544,معلومات إضافية
8,张敏,Argentina,58.70968,121.68809,附加信息
9,Diego Álvarez,日本,-54.75547,-101.99165,nota breve
10,خالد المنصور,Argentina,29.07026,-149.33662,معلومات إضافية
11,刘洋,الإمارات,33.75287,-52.16065,已确认
12,Diego Álvarez,Brasil,-49.52766,-22.02091,nota breve
13,ليلى الحسن,España,-11.07578,-78.05224,معلومات إضافية
14,李娜,中国,-12.73709,-51.2871,简短说明
15,Andrés Jiménez,日本,53.95703,108.13784,nota breve
16,خالد المنصور,Argentina,22.35287,28.15971,معلومات إضافية
17,陈静,مصر,-40.77988,-143.20181,简短说明
18,Íñigo Martínez,المملكة العربية السعودية,-18.10231,132.42552,revisar más tarde
19,محمد العلي,Deutschland,-56.30036,105.94953,تم التأكيد
20,陈静,المملكة العربية السعودية,58.04932,3.41883,已确认
21,Andrés Jiménez,España,4.32923,96.34084,datos confirmados
22,ليلى الحسن,India,22.36643,-86.53857,ملاحظات قصيرة
23,杨帆,Deutschland,-19.91416,-30.67872,无备注
24,Íñigo Martínez,Argentina,52.03232,108.23312,sin observaciones
25,يوسف القاسم,España,35.21497,-35.11922,معلومات إضافية
26,陈静,India,65.08213,38.57729,无备注
27,Núria Castañeda,Россия,-15.81935,55.49855,sin observaciones
28,ليلى الحسن,中国,59.38676,84.9828,ملاحظات قصيرة
29,李娜,Brasil,0.91241,-128.51571,简短说明
30,Andrés Jiménez,India,65.97033,5.2674,revisar más tarde
31,نور الدين,日本,51.67335,-74.30382,تم التأكيد
32,黄丽,Deutschland,-46.805,40.87883,简短说明
33,María González,台灣,31.75292,-48.1179,información adicional
34,ليلى الحسن,España,65.17685,136.97889,بدون ملاحظات
35,刘洋,日本,32.21883,159.40787,无备注
36,Íñigo Martínez,Россия,12.67004,-174.30009,sin observaciones
